b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
188,251.99794871794876,11111098.717948718,1.0,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657
189,251.99794871794876,11111098.717948718,1.0,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657
190,251.99794871794876,11111098.717948718,1.0,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657
191,251.99794871794876,11111098.717948718,1.0,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657
192,251.99794871794876,11111098.717948718,1.0,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657
193,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
194,251.99794871794876,11111098.717948718,1.0,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657
195,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
196,252.0,11111100.0,1.0,1.0,1.0,0.0,0.0,0.0
197,251.99384615384616,11111096.153846154,1.0,1.0,0.9996153846153846,0.0,0.0,0.00038461538461542766
198,251.99794871794876,11111098.717948718,1.0,1.0,0.9998717948717948,0.0,0.0,0.00012820512820521657
199,251.99179487179487,11111094.871794872,1.0,1.0,0.9994871794871796,0.0,0.0,0.0005128205128204222
200,251.99179487179487,11111094.871794872,1.0,1.0,0.9994871794871796,0.0,0.0,0.0005128205128204222
201,251.98358974358973,11111089.743589744,1.0,1.0,0.9989743589743588,0.0,0.0,0.0010256410256411774
202,251.98564102564103,11111091.025641026,1.0,1.0,0.9991025641025642,0.0,0.0,0.0008974358974358498
203,251.9815384615385,11111088.461538462,1.0,1.0,0.9988461538461538,0.0,0.0,0.001153846153846172
204,251.98358974358973,11111089.743589744,1.0,1.0,0.9989743589743588,0.0,0.0,0.0010256410256411774
205,251.9712820512821,11111082.051282052,1.0,1.0,0.9982051282051282,0.0,0.0,0.0017948717948718107
206,251.93641025641023,11111060.256410256,1.0,1.0,0.9960256410256412,0.0,0.0,0.003974358974358827
207,251.9446153846154,11111065.384615384,1.0,1.0,0.9965384615384616,0.0,0.0,0.003461538461538405
208,251.95076923076925,11111069.23076923,1.0,1.0,0.9969230769230768,0.0,0.0,0.0030769230769231992
209,251.8953846153846,11111034.615384616,1.0,1.0,0.9934615384615384,0.0,0.0,0.006538461538461604
210,251.92,11111050.0,1.0,1.0,0.995,0.0,0.0,0.0050000000000000044
211,251.89333333333332,11111033.333333334,1.0,1.0,0.9933333333333332,0.0,0.0,0.006666666666666821
212,251.8276923076923,11110992.307692308,1.0,1.0,0.9892307692307692,0.0,0.0,0.010769230769230753
213,251.79282051282053,11110970.512820512,1.0,1.0,0.987051282051282,0.0,0.0,0.012948717948717992
214,251.75589743589745,11110947.435897436,1.0,1.0,0.9847435897435898,0.0,0.0,0.015256410256410224
215,251.7497435897436,11110943.58974359,1.0,1.0,0.9843589743589743,0.0,0.0,0.015641025641025652
216,251.66153846153847,11110888.461538462,1.0,1.0,0.9788461538461538,0.0,0.0,0.02115384615384619
217,251.6492307692308,11110880.76923077,1.0,1.0,0.9780769230769232,0.0,0.0,0.021923076923076823
218,251.5097435897436,11110793.58974359,1.0,1.0,0.9693589743589744,0.0,0.0,0.030641025641025554
219,251.46051282051283,11110762.82051282,1.0,1.0,0.9662820512820512,0.0,0.0,0.033717948717948754
220,251.4051282051282,11110728.205128206,1.0,1.0,0.9628205128205128,0.0,0.0,0.03717948717948716
221,251.30666666666667,11110666.666666666,1.0,1.0,0.9566666666666668,0.0,0.0,0.043333333333333224
222,251.1179487179487,11110548.717948718,1.0,1.0,0.9448717948717948,0.0,0.0,0.055128205128205154
223,250.97641025641025,11110460.256410256,1.0,1.0,0.936025641025641,0.0,0.0,0.06397435897435899
224,250.93128205128204,11110432.051282052,1.0,1.0,0.9332051282051282,0.0,0.0,0.06679487179487176
225,250.72,11110300.0,1.0,1.0,0.92,0.0,0.0,0.07999999999999996
226,250.6194871794872,11110237.17948718,1.0,1.0,0.9137179487179488,0.0,0.0,0.08628205128205124
227,250.3302564102564,11110056.41025641,1.0,1.0,0.8956410256410257,0.0,0.0,0.10435897435897434
228,250.1128205128205,11109920.512820512,1.0,1.0,0.882051282051282,0.0,0.0,0.11794871794871797
229,249.90358974358972,11109789.743589744,1.0,1.0,0.8689743589743589,0.0,0.0,0.13102564102564107
230,249.69846153846157,11109661.538461538,1.0,1.0,0.8561538461538462,0.0,0.0,0.14384615384615385
231,249.32102564102564,11109425.641025642,1.0,1.0,0.8325641025641025,0.0,0.0,0.16743589743589748
232,249.0851282051282,11109278.205128206,1.0,1.0,0.8178205128205128,0.0,0.0,0.18217948717948718
233,248.57641025641027,11108960.256410256,1.0,1.0,0.786025641025641,0.0,0.0,0.213974358974359
234,248.3548717948718,11108821.794871794,1.0,1.0,0.7721794871794871,0.0,0.0,0.22782051282051285
235,247.91794871794872,11108548.717948718,1.0,1.0,0.7448717948717949,0.0,0.0,0.2551282051282051
236,247.58358974358976,11108216.666666666,0.9998717948717948,1.0,0.7244871794871794,0.00012820512820521657,0.0,0.27551282051282056
