b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
181,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
182,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
183,239.9957894736842,11109997.368421054,1.0,1.0,0.9997368421052631,0.0,0.0,0.000263157894736854
184,239.98736842105265,11109971.05263158,1.0,0.9997368421052631,0.9997368421052631,0.0,0.000263157894736854,0.000263157894736854
185,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
186,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
187,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
188,239.9957894736842,11109997.368421054,1.0,1.0,0.9997368421052631,0.0,0.0,0.000263157894736854
189,239.9957894736842,11109997.368421054,1.0,1.0,0.9997368421052631,0.0,0.0,0.000263157894736854
190,239.98315789473685,11109736.842105264,0.9997368421052631,1.0,1.0,0.000263157894736854,0.0,0.0
191,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
192,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
193,239.9494736842105,11109210.52631579,0.9992105263157894,1.0,1.0,0.0007894736842105621,0.0,0.0
194,239.93263157894737,11108947.368421054,0.9989473684210526,1.0,1.0,0.001052631578947416,0.0,0.0
195,239.9663157894737,11109473.684210526,0.9994736842105264,1.0,1.0,0.000526315789473597,0.0,0.0
196,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
197,240.0,11110000.0,1.0,1.0,1.0,0.0,0.0,0.0
198,239.89894736842103,11108421.05263158,0.998421052631579,1.0,1.0,0.0015789473684210131,0.0,0.0
199,239.83157894736843,11107368.421052633,0.9973684210526316,1.0,1.0,0.0026315789473684292,0.0,0.0
200,239.81473684210528,11107105.263157897,0.9971052631578948,1.0,1.0,0.0028947368421051722,0.0,0.0
201,239.78105263157892,11106578.94736842,0.996578947368421,1.0,1.0,0.0034210526315789913,0.0,0.0
202,239.68,11105000.0,0.995,1.0,1.0,0.0050000000000000044,0.0,0.0
203,239.62947368421047,11104210.52631579,0.9942105263157894,1.0,1.0,0.0057894736842105665,0.0,0.0
